,user_id,food_id,rating,users_frequency,items_frequency
11,56680,79222,5,124,25
13,101823,79222,5,876,25
15,446143,79222,4,434,25
16,226989,79222,4,46,25
17,868654,79222,5,41,25
24,241697,79222,5,29,25
25,980899,79222,0,22,25
26,158966,79222,5,49,25
162,213909,78274,5,163,44
164,340843,78274,5,21,44
165,241696,78274,5,56,44
168,282215,78274,5,33,44
169,936601,78274,5,268,44
170,59753,78274,5,24,44
174,225096,78274,5,72,44
176,176615,78274,5,1392,44
177,500671,78274,5,38,44
179,768828,78274,5,200,44
184,131126,78274,5,1341,44
185,140132,78274,5,1109,44
187,1677099,78274,5,184,44
188,200875,78274,5,36,44
189,199848,78274,5,1934,44
236,8629,207860,5,425,26
237,239758,207860,5,499,26
238,344231,207860,4,199,26
239,157425,207860,5,1139,26
240,296809,207860,5,725,26
244,53932,207860,5,909,26
249,269575,207860,5,41,26
325,28649,33096,5,202,30
326,30298,33096,4,27,30
328,22973,33096,5,209,30
329,37449,33096,5,3743,30
330,89831,33096,5,1936,30
331,101034,33096,5,112,30
332,95810,33096,5,111,30
333,107308,33096,5,120,30
334,130819,33096,5,565,30
335,229524,33096,5,134,30
336,130896,33096,5,26,30
337,195175,33096,5,104,30
338,231054,33096,5,168,30
339,28201,33096,5,79,30
341,250031,33096,5,191,30
342,29404,33096,5,51,30
345,64583,33096,5,201,30
346,870928,33096,5,46,30
348,666947,33096,5,62,30
350,570804,33096,5,217,30
352,257968,33096,4,22,30
353,195589,33096,5,170,30
360,412186,211570,3,55,26
361,5060,211570,5,1256,26
362,384041,211570,3,115,26
363,66008,211570,4,149,26
364,4470,211570,5,1764,26
365,59780,211570,4,374,26
366,351811,211570,5,323,26
367,192581,211570,4,550,26
368,355944,211570,3,54,26
369,383346,211570,5,3340,26
370,102058,211570,4,513,26
371,157425,211570,5,1139,26
372,233583,211570,4,314,26
373,220348,211570,5,550,26
375,74652,211570,2,252,26
376,159532,211570,5,47,26
378,204261,211570,4,53,26
379,322326,211570,5,84,26
380,388414,211570,5,55,26
383,20480,211570,5,334,26
384,552613,211570,4,314,26
385,59473,211570,4,154,26
453,68460,54550,5,467,21
454,65056,54550,5,396,21
455,80353,54550,5,1294,21
457,116315,54550,5,35,21
458,37779,54550,5,623,21
459,246898,54550,5,25,21
460,108902,54550,5,50,21
461,223325,54550,4,29,21
463,39835,54550,4,1360,21
464,62043,54550,5,137,21
465,362983,54550,4,274,21
466,208125,54550,5,21,21
467,203111,54550,3,142,21
468,149075,54550,5,48,21
471,545970,54550,3,46,21
475,6357,98783,5,899,68
476,141042,98783,5,25,68
478,98063,98783,5,40,68
479,138861,98783,5,42,68
480,206722,98783,5,197,68
481,39194,98783,5,113,68
482,55380,98783,5,209,68
485,102058,98783,5,513,68
486,202661,98783,5,80,68
487,234222,98783,5,24,68
488,144431,98783,5,38,68
493,158087,98783,5,32,68
494,152393,98783,4,111,68
497,106867,98783,3,41,68
498,110433,98783,5,47,68
501,381180,98783,5,180,68
503,231054,98783,5,168,68
504,209154,98783,5,24,68
505,189616,98783,5,416,68
506,469903,98783,5,580,68
509,226066,98783,5,722,68
510,537188,98783,3,168,68
516,544026,98783,4,30,68
517,13483,98783,5,692,68
519,97780,98783,3,91,68
522,297303,98783,3,39,68
524,274467,98783,5,28,68
526,87236,98783,5,116,68
528,688566,98783,5,37,68
529,307475,98783,0,21,68
533,875884,98783,5,32,68
535,222564,98783,5,1088,68
536,1256030,98783,0,27,68
539,140132,98783,5,1109,68
619,168896,200083,5,200,30
620,155886,200083,2,21,30
625,1306875,200083,5,20,30
628,196341,200083,5,33,30
632,160977,200083,3,293,30
633,204024,200083,5,848,30
637,73951,200083,5,47,30
694,42586,21132,5,57,30
695,22015,21132,5,509,30
697,86855,21132,5,27,30
698,140806,21132,5,177,30
699,173838,21132,5,52,30
701,182358,21132,5,119,30
702,95743,21132,0,1491,30
703,215898,21132,0,128,30
705,100185,21132,4,83,30
706,133174,21132,5,2004,30
708,47892,21132,5,1093,30
709,181123,21132,5,28,30
710,404046,21132,5,28,30
714,28177,21132,5,555,30
715,540142,21132,5,22,30
717,362983,21132,5,274,30
718,46357,21132,5,87,30
719,237123,21132,5,324,30
720,225620,21132,5,27,30
722,421511,21132,4,60,30
723,213139,21132,5,526,30
870,110875,9054,5,44,111
872,64683,9054,5,29,111
873,327989,9054,3,61,111
874,240552,9054,5,369,111
875,206747,9054,4,355,111
879,251686,9054,5,44,111
880,588529,9054,5,35,111
881,936601,9054,5,268,111
883,485151,9054,5,64,111
886,54243,9054,5,43,111
892,53368,9054,5,90,111
893,364211,9054,5,92,111
897,144373,9054,5,191,111
